11.10.2006;Extra;Vazquez;Sumerson;Yangon;Guinea-Bissau
14.02.1903;Chef;Bishop;San;Surat;The Bahamas
31.08.1985;Eve;Stephanie;Alma;Santiago;Angola
07.10.1907;Chocki;Dina;Boxer;Hong Kong;Palau
08.11.1956;Rishi;Girffiths;Jaffe;Buenos Aires;Saudi Arabia
06.02.2015;Shaun;Teacher;Koloski;Karachi;Laos
14.09.1935;Costanza;Combs;Olaru;Delhi;Vietnam
13.09.1927;Francis;Osorio;Ehrlinger;Harbin;Malta
22.03.1971;Leader;Genetelli;Titus;Khartoum;Grenada
28.02.1949;Gilda;Dieter;Trabajara;Mumbai;Czech Republic
11.10.2006;Extra;Vazquez;Sumerson;Yangon;Guinea-Bissau
11.10.2006;Extra;Vazquez;Sumerson;Yangon;Guinea-Bissau
11.10.2006;Extra;Vazquez;Sumerson;Yangon;Guinea-Bissau
11.10.2006;Extra;Vazquez;Sumerson;Yangon;Guinea-Bissau
11.10.2006;Extra;Vazquez;Sumerson;Yangon;Guinea-Bissau
14.02.1903;Chef;Bishop;San;Surat;The Bahamas
31.08.1985;Eve;Stephanie;Alma;Santiago;Angola
07.10.1907;Chocki;Dina;Boxer;Hong Kong;Palau
08.11.1956;Rishi;Girffiths;Jaffe;Buenos Aires;Saudi Arabia
06.02.2015;Shaun;Teacher;Koloski;Karachi;Laos
14.09.1935;Costanza;Combs;Olaru;Delhi;Vietnam
13.09.1927;Francis;Osorio;Ehrlinger;Harbin;Malta
22.03.1971;Leader;Genetelli;Titus;Khartoum;Grenada
28.02.1949;Gilda;Dieter;Trabajara;Mumbai;Czech Republic
11.10.2006;Extra;Vazquez;Sumerson;Yangon;Guinea-Bissau
11.10.2006;Extra;Vazquez;Sumerson;Yangon;Guinea-Bissau
11.10.2006;Extra;Vazquez;Sumerson;Yangon;Guinea-Bissau
11.10.2006;Extra;Vazquez;Sumerson;Yangon;Guinea-Bissau
